LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,PARTEMP,TOT,PC_EMP,A,1983,9.758870457,
BEL,PARTEMP,TOT,PC_EMP,A,1984,10.76751196,
BEL,PARTEMP,TOT,PC_EMP,A,1985,11.53289412,
BEL,PARTEMP,TOT,PC_EMP,A,1986,11.65501123,
BEL,PARTEMP,TOT,PC_EMP,A,1987,12.49887964,
BEL,PARTEMP,TOT,PC_EMP,A,1988,12.72590748,
BEL,PARTEMP,TOT,PC_EMP,A,1989,12.99979557,
BEL,PARTEMP,TOT,PC_EMP,A,1990,13.51450635,
BEL,PARTEMP,TOT,PC_EMP,A,1991,14.61762525,
BEL,PARTEMP,TOT,PC_EMP,A,1992,14.33872822,
BEL,PARTEMP,TOT,PC_EMP,A,1993,14.66402647,
BEL,PARTEMP,TOT,PC_EMP,A,1994,14.62111006,
BEL,PARTEMP,TOT,PC_EMP,A,1995,14.56226774,
BEL,PARTEMP,TOT,PC_EMP,A,1996,14.79065965,
BEL,PARTEMP,TOT,PC_EMP,A,1997,15.04460179,
BEL,PARTEMP,TOT,PC_EMP,A,1998,15.59890891,
BEL,PARTEMP,TOT,PC_EMP,A,1999,19.90167533,
BEL,PARTEMP,TOT,PC_EMP,A,2000,19.26277042,
BEL,PARTEMP,TOT,PC_EMP,A,2001,17.58766593,
BEL,PARTEMP,TOT,PC_EMP,A,2002,17.59775175,
BEL,PARTEMP,TOT,PC_EMP,A,2003,18.29945038,
BEL,PARTEMP,TOT,PC_EMP,A,2004,18.53921303,
BEL,PARTEMP,TOT,PC_EMP,A,2005,18.52233922,
BEL,PARTEMP,TOT,PC_EMP,A,2006,18.66348427,
BEL,PARTEMP,TOT,PC_EMP,A,2007,18.08417836,
BEL,PARTEMP,TOT,PC_EMP,A,2008,18.3171558,
BEL,PARTEMP,TOT,PC_EMP,A,2009,18.24411496,
BEL,PARTEMP,TOT,PC_EMP,A,2010,18.32104417,
BEL,PARTEMP,TOT,PC_EMP,A,2011,18.79329785,
BEL,PARTEMP,TOT,PC_EMP,A,2012,18.67178355,
BEL,PARTEMP,TOT,PC_EMP,A,2013,18.21250909,
BEL,PARTEMP,TOT,PC_EMP,A,2014,18.12644954,
BEL,PARTEMP,TOT,PC_EMP,A,2015,18.15268227,
BEL,PARTEMP,TOT,PC_EMP,A,2016,17.77411875,
BEL,PARTEMP,TOT,PC_EMP,A,2017,16.39465129,
CAN,PARTEMP,TOT,PC_EMP,A,1976,12.5097587,
CAN,PARTEMP,TOT,PC_EMP,A,1977,13.04040395,
CAN,PARTEMP,TOT,PC_EMP,A,1978,13.2226949,
CAN,PARTEMP,TOT,PC_EMP,A,1979,13.76872832,
CAN,PARTEMP,TOT,PC_EMP,A,1980,14.29417552,
CAN,PARTEMP,TOT,PC_EMP,A,1981,14.8233106,
CAN,PARTEMP,TOT,PC_EMP,A,1982,15.92424863,
CAN,PARTEMP,TOT,PC_EMP,A,1983,16.78942172,
CAN,PARTEMP,TOT,PC_EMP,A,1984,16.75316164,
CAN,PARTEMP,TOT,PC_EMP,A,1985,17.04586427,
CAN,PARTEMP,TOT,PC_EMP,A,1986,16.9261025,
CAN,PARTEMP,TOT,PC_EMP,A,1987,16.64989621,
CAN,PARTEMP,TOT,PC_EMP,A,1988,16.81693979,
CAN,PARTEMP,TOT,PC_EMP,A,1989,16.6411321,
CAN,PARTEMP,TOT,PC_EMP,A,1990,16.96849192,
CAN,PARTEMP,TOT,PC_EMP,A,1991,18.14333199,
CAN,PARTEMP,TOT,PC_EMP,A,1992,18.55864645,
CAN,PARTEMP,TOT,PC_EMP,A,1993,19.21782802,
CAN,PARTEMP,TOT,PC_EMP,A,1994,18.9450131,
CAN,PARTEMP,TOT,PC_EMP,A,1995,18.80119865,
CAN,PARTEMP,TOT,PC_EMP,A,1996,19.09353963,
CAN,PARTEMP,TOT,PC_EMP,A,1997,19.09066372,
CAN,PARTEMP,TOT,PC_EMP,A,1998,18.81386361,
CAN,PARTEMP,TOT,PC_EMP,A,1999,18.39407942,
CAN,PARTEMP,TOT,PC_EMP,A,2000,18.10478637,
CAN,PARTEMP,TOT,PC_EMP,A,2001,18.11285354,
CAN,PARTEMP,TOT,PC_EMP,A,2002,18.76758403,
CAN,PARTEMP,TOT,PC_EMP,A,2003,18.96699349,
CAN,PARTEMP,TOT,PC_EMP,A,2004,18.53598124,
CAN,PARTEMP,TOT,PC_EMP,A,2005,18.4178848,
CAN,PARTEMP,TOT,PC_EMP,A,2006,18.17948806,
CAN,PARTEMP,TOT,PC_EMP,A,2007,18.30033006,
CAN,PARTEMP,TOT,PC_EMP,A,2008,18.56420938,
CAN,PARTEMP,TOT,PC_EMP,A,2009,19.29169655,
CAN,PARTEMP,TOT,PC_EMP,A,2010,19.56343511,
CAN,PARTEMP,TOT,PC_EMP,A,2011,19.29099774,
CAN,PARTEMP,TOT,PC_EMP,A,2012,18.96027444,
CAN,PARTEMP,TOT,PC_EMP,A,2013,19.09849269,
CAN,PARTEMP,TOT,PC_EMP,A,2014,19.29019014,
CAN,PARTEMP,TOT,PC_EMP,A,2015,18.88316547,
CAN,PARTEMP,TOT,PC_EMP,A,2016,19.18811836,
CAN,PARTEMP,TOT,PC_EMP,A,2017,19.1406144,
CZE,PARTEMP,TOT,PC_EMP,A,1993,3.625434519,
CZE,PARTEMP,TOT,PC_EMP,A,1994,3.601188049,
CZE,PARTEMP,TOT,PC_EMP,A,1995,3.449420664,
CZE,PARTEMP,TOT,PC_EMP,A,1996,3.412295308,
CZE,PARTEMP,TOT,PC_EMP,A,1997,3.409297884,
CZE,PARTEMP,TOT,PC_EMP,A,1998,3.305773824,
CZE,PARTEMP,TOT,PC_EMP,A,1999,3.384848386,
CZE,PARTEMP,TOT,PC_EMP,A,2000,3.226651972,
CZE,PARTEMP,TOT,PC_EMP,A,2001,3.234604721,
CZE,PARTEMP,TOT,PC_EMP,A,2002,2.91173429,
CZE,PARTEMP,TOT,PC_EMP,A,2003,3.176463631,
CZE,PARTEMP,TOT,PC_EMP,A,2004,3.07758068,
CZE,PARTEMP,TOT,PC_EMP,A,2005,3.266895029,
CZE,PARTEMP,TOT,PC_EMP,A,2006,3.31782289,
CZE,PARTEMP,TOT,PC_EMP,A,2007,3.488839459,
CZE,PARTEMP,TOT,PC_EMP,A,2008,3.469270264,
CZE,PARTEMP,TOT,PC_EMP,A,2009,3.886915027,
CZE,PARTEMP,TOT,PC_EMP,A,2010,4.321034991,
CZE,PARTEMP,TOT,PC_EMP,A,2011,3.901113806,
CZE,PARTEMP,TOT,PC_EMP,A,2012,4.337309572,
CZE,PARTEMP,TOT,PC_EMP,A,2013,4.899425736,
CZE,PARTEMP,TOT,PC_EMP,A,2014,4.760107373,
CZE,PARTEMP,TOT,PC_EMP,A,2015,4.683773864,
CZE,PARTEMP,TOT,PC_EMP,A,2016,4.946839235,
CZE,PARTEMP,TOT,PC_EMP,A,2017,5.362375688,
DNK,PARTEMP,TOT,PC_EMP,A,1983,20.55832314,
DNK,PARTEMP,TOT,PC_EMP,A,1984,21.16535546,
DNK,PARTEMP,TOT,PC_EMP,A,1985,20.32026658,
DNK,PARTEMP,TOT,PC_EMP,A,1986,19.62744502,
DNK,PARTEMP,TOT,PC_EMP,A,1987,19.86666055,
DNK,PARTEMP,TOT,PC_EMP,A,1988,18.9874821,
DNK,PARTEMP,TOT,PC_EMP,A,1989,18.87640745,
DNK,PARTEMP,TOT,PC_EMP,A,1990,19.1550652,
DNK,PARTEMP,TOT,PC_EMP,A,1991,18.70780785,
DNK,PARTEMP,TOT,PC_EMP,A,1992,18.91692188,
DNK,PARTEMP,TOT,PC_EMP,A,1993,18.97203924,
DNK,PARTEMP,TOT,PC_EMP,A,1994,17.3090414,
DNK,PARTEMP,TOT,PC_EMP,A,1995,16.88812027,
DNK,PARTEMP,TOT,PC_EMP,A,1996,16.60721694,
DNK,PARTEMP,TOT,PC_EMP,A,1997,17.17810882,
DNK,PARTEMP,TOT,PC_EMP,A,1998,17.11221356,
DNK,PARTEMP,TOT,PC_EMP,A,1999,15.27826507,
DNK,PARTEMP,TOT,PC_EMP,A,2000,15.28954531,
DNK,PARTEMP,TOT,PC_EMP,A,2001,14.84258086,
DNK,PARTEMP,TOT,PC_EMP,A,2002,15.49260299,
DNK,PARTEMP,TOT,PC_EMP,A,2003,16.15827463,
DNK,PARTEMP,TOT,PC_EMP,A,2004,17.04869731,
DNK,PARTEMP,TOT,PC_EMP,A,2005,17.34987077,
DNK,PARTEMP,TOT,PC_EMP,A,2006,17.87374567,
DNK,PARTEMP,TOT,PC_EMP,A,2007,17.27459258,
DNK,PARTEMP,TOT,PC_EMP,A,2008,17.8186444,
DNK,PARTEMP,TOT,PC_EMP,A,2009,18.77525646,
DNK,PARTEMP,TOT,PC_EMP,A,2010,19.15361506,
DNK,PARTEMP,TOT,PC_EMP,A,2011,19.20427056,
DNK,PARTEMP,TOT,PC_EMP,A,2012,19.3795722,
DNK,PARTEMP,TOT,PC_EMP,A,2013,19.20304516,
DNK,PARTEMP,TOT,PC_EMP,A,2014,19.69602686,
DNK,PARTEMP,TOT,PC_EMP,A,2015,20.03492515,
DNK,PARTEMP,TOT,PC_EMP,A,2016,21.72389319,
DNK,PARTEMP,TOT,PC_EMP,A,2017,20.42568948,
FIN,PARTEMP,TOT,PC_EMP,A,1989,7.745058491,
FIN,PARTEMP,TOT,PC_EMP,A,1990,7.586763519,
FIN,PARTEMP,TOT,PC_EMP,A,1991,7.938540333,
FIN,PARTEMP,TOT,PC_EMP,A,1992,8.149171271,
FIN,PARTEMP,TOT,PC_EMP,A,1993,8.939096267,
FIN,PARTEMP,TOT,PC_EMP,A,1994,8.933002481,
FIN,PARTEMP,TOT,PC_EMP,A,1995,8.69140625,
FIN,PARTEMP,TOT,PC_EMP,A,1996,8.481927711,
FIN,PARTEMP,TOT,PC_EMP,A,1997,9.327146172,
FIN,PARTEMP,TOT,PC_EMP,A,1998,9.678878336,
FIN,PARTEMP,TOT,PC_EMP,A,1999,9.872751207,
FIN,PARTEMP,TOT,PC_EMP,A,2000,10.3626943,
FIN,PARTEMP,TOT,PC_EMP,A,2001,10.49040512,
FIN,PARTEMP,TOT,PC_EMP,A,2002,11.0403397,
FIN,PARTEMP,TOT,PC_EMP,A,2003,11.32396765,
FIN,PARTEMP,TOT,PC_EMP,A,2004,11.31154499,
FIN,PARTEMP,TOT,PC_EMP,A,2005,11.20366514,
FIN,PARTEMP,TOT,PC_EMP,A,2006,11.4074682,
FIN,PARTEMP,TOT,PC_EMP,A,2007,11.70514378,
FIN,PARTEMP,TOT,PC_EMP,A,2008,11.4956245,
FIN,PARTEMP,TOT,PC_EMP,A,2009,12.2387205,
FIN,PARTEMP,TOT,PC_EMP,A,2010,12.48458946,
FIN,PARTEMP,TOT,PC_EMP,A,2011,12.7048014,
FIN,PARTEMP,TOT,PC_EMP,A,2012,12.97975709,
FIN,PARTEMP,TOT,PC_EMP,A,2013,13.03635774,
FIN,PARTEMP,TOT,PC_EMP,A,2014,13.31853494,
FIN,PARTEMP,TOT,PC_EMP,A,2015,13.40385083,
FIN,PARTEMP,TOT,PC_EMP,A,2016,14.01161733,
FIN,PARTEMP,TOT,PC_EMP,A,2017,14.03118095,
FRA,PARTEMP,TOT,PC_EMP,A,1983,10.30371787,
FRA,PARTEMP,TOT,PC_EMP,A,1984,11.24866942,
FRA,PARTEMP,TOT,PC_EMP,A,1985,11.65606952,
FRA,PARTEMP,TOT,PC_EMP,A,1986,12.61135567,
FRA,PARTEMP,TOT,PC_EMP,A,1987,12.54406625,
FRA,PARTEMP,TOT,PC_EMP,A,1988,12.56231856,
FRA,PARTEMP,TOT,PC_EMP,A,1989,12.14853815,
FRA,PARTEMP,TOT,PC_EMP,A,1990,12.16956429,
FRA,PARTEMP,TOT,PC_EMP,A,1991,12.03883988,
FRA,PARTEMP,TOT,PC_EMP,A,1992,12.55040708,
FRA,PARTEMP,TOT,PC_EMP,A,1993,13.19080744,
FRA,PARTEMP,TOT,PC_EMP,A,1994,13.79856905,
FRA,PARTEMP,TOT,PC_EMP,A,1995,14.15307401,
FRA,PARTEMP,TOT,PC_EMP,A,1996,14.04506645,
FRA,PARTEMP,TOT,PC_EMP,A,1997,14.76562935,
FRA,PARTEMP,TOT,PC_EMP,A,1998,14.68499158,
FRA,PARTEMP,TOT,PC_EMP,A,1999,14.5601247,
FRA,PARTEMP,TOT,PC_EMP,A,2000,14.24953413,
FRA,PARTEMP,TOT,PC_EMP,A,2001,13.78933658,
FRA,PARTEMP,TOT,PC_EMP,A,2002,13.83245113,
FRA,PARTEMP,TOT,PC_EMP,A,2003,12.97985105,
FRA,PARTEMP,TOT,PC_EMP,A,2004,13.26601878,
FRA,PARTEMP,TOT,PC_EMP,A,2005,13.18965094,
FRA,PARTEMP,TOT,PC_EMP,A,2006,13.20916745,
FRA,PARTEMP,TOT,PC_EMP,A,2007,13.28382639,
FRA,PARTEMP,TOT,PC_EMP,A,2008,13.02659834,
FRA,PARTEMP,TOT,PC_EMP,A,2009,13.46170547,
FRA,PARTEMP,TOT,PC_EMP,A,2010,13.67666131,
FRA,PARTEMP,TOT,PC_EMP,A,2011,13.66343109,
FRA,PARTEMP,TOT,PC_EMP,A,2012,13.87255201,
FRA,PARTEMP,TOT,PC_EMP,A,2013,14.0190112,
FRA,PARTEMP,TOT,PC_EMP,A,2014,14.31455555,
FRA,PARTEMP,TOT,PC_EMP,A,2015,14.35547981,
FRA,PARTEMP,TOT,PC_EMP,A,2016,14.22124755,
FRA,PARTEMP,TOT,PC_EMP,A,2017,14.29111341,
DEU,PARTEMP,TOT,PC_EMP,A,1983,13.37099957,
DEU,PARTEMP,TOT,PC_EMP,A,1984,11.03323056,
DEU,PARTEMP,TOT,PC_EMP,A,1985,10.97087935,
DEU,PARTEMP,TOT,PC_EMP,A,1986,11.2232185,
DEU,PARTEMP,TOT,PC_EMP,A,1987,10.9697215,
DEU,PARTEMP,TOT,PC_EMP,A,1988,11.3829344,
DEU,PARTEMP,TOT,PC_EMP,A,1989,11.58456486,
DEU,PARTEMP,TOT,PC_EMP,A,1990,13.42195496,
DEU,PARTEMP,TOT,PC_EMP,A,1991,11.83619047,
DEU,PARTEMP,TOT,PC_EMP,A,1992,12.25415364,
DEU,PARTEMP,TOT,PC_EMP,A,1993,12.83328054,
DEU,PARTEMP,TOT,PC_EMP,A,1994,13.5047243,
DEU,PARTEMP,TOT,PC_EMP,A,1995,14.24406501,
DEU,PARTEMP,TOT,PC_EMP,A,1996,14.89393245,
DEU,PARTEMP,TOT,PC_EMP,A,1997,15.81891442,
DEU,PARTEMP,TOT,PC_EMP,A,1998,16.59621217,
DEU,PARTEMP,TOT,PC_EMP,A,1999,17.140845,
DEU,PARTEMP,TOT,PC_EMP,A,2000,17.58098053,
DEU,PARTEMP,TOT,PC_EMP,A,2001,18.29400733,
DEU,PARTEMP,TOT,PC_EMP,A,2002,18.77605124,
DEU,PARTEMP,TOT,PC_EMP,A,2003,19.56408094,
DEU,PARTEMP,TOT,PC_EMP,A,2004,20.09670267,
DEU,PARTEMP,TOT,PC_EMP,A,2005,21.46167684,
DEU,PARTEMP,TOT,PC_EMP,A,2006,21.842665,
DEU,PARTEMP,TOT,PC_EMP,A,2007,21.97901574,
DEU,PARTEMP,TOT,PC_EMP,A,2008,21.78336199,
DEU,PARTEMP,TOT,PC_EMP,A,2009,21.85774549,
DEU,PARTEMP,TOT,PC_EMP,A,2010,21.83695438,
DEU,PARTEMP,TOT,PC_EMP,A,2011,22.26650576,
DEU,PARTEMP,TOT,PC_EMP,A,2012,22.23525722,
DEU,PARTEMP,TOT,PC_EMP,A,2013,22.5695483,
DEU,PARTEMP,TOT,PC_EMP,A,2014,22.32789071,
DEU,PARTEMP,TOT,PC_EMP,A,2015,22.40204165,
DEU,PARTEMP,TOT,PC_EMP,A,2016,22.07889384,
DEU,PARTEMP,TOT,PC_EMP,A,2017,22.15963688,
GRC,PARTEMP,TOT,PC_EMP,A,1983,7.240926605,
GRC,PARTEMP,TOT,PC_EMP,A,1984,6.997574531,
GRC,PARTEMP,TOT,PC_EMP,A,1985,5.939934107,
GRC,PARTEMP,TOT,PC_EMP,A,1986,6.794087472,
GRC,PARTEMP,TOT,PC_EMP,A,1987,6.525489602,
GRC,PARTEMP,TOT,PC_EMP,A,1988,7.012411017,
GRC,PARTEMP,TOT,PC_EMP,A,1989,6.635653637,
GRC,PARTEMP,TOT,PC_EMP,A,1990,6.697393877,
GRC,PARTEMP,TOT,PC_EMP,A,1991,6.875667973,
GRC,PARTEMP,TOT,PC_EMP,A,1992,7.202623472,
GRC,PARTEMP,TOT,PC_EMP,A,1993,7.12930196,
GRC,PARTEMP,TOT,PC_EMP,A,1994,7.83829857,
GRC,PARTEMP,TOT,PC_EMP,A,1995,7.788224582,
GRC,PARTEMP,TOT,PC_EMP,A,1996,8.005856914,
GRC,PARTEMP,TOT,PC_EMP,A,1997,8.315235332,
GRC,PARTEMP,TOT,PC_EMP,A,1998,9.068599506,
GRC,PARTEMP,TOT,PC_EMP,A,1999,7.965455503,
GRC,PARTEMP,TOT,PC_EMP,A,2000,5.34482626,
GRC,PARTEMP,TOT,PC_EMP,A,2001,4.704793464,
GRC,PARTEMP,TOT,PC_EMP,A,2002,5.378599705,
GRC,PARTEMP,TOT,PC_EMP,A,2003,5.601154299,
GRC,PARTEMP,TOT,PC_EMP,A,2004,5.895149546,
GRC,PARTEMP,TOT,PC_EMP,A,2005,6.382767358,
GRC,PARTEMP,TOT,PC_EMP,A,2006,7.431964513,
GRC,PARTEMP,TOT,PC_EMP,A,2007,7.693353551,
GRC,PARTEMP,TOT,PC_EMP,A,2008,7.933897043,
GRC,PARTEMP,TOT,PC_EMP,A,2009,8.50481647,
GRC,PARTEMP,TOT,PC_EMP,A,2010,8.906889851,
GRC,PARTEMP,TOT,PC_EMP,A,2011,9.085164168,
GRC,PARTEMP,TOT,PC_EMP,A,2012,9.786492835,
GRC,PARTEMP,TOT,PC_EMP,A,2013,10.3265693,
GRC,PARTEMP,TOT,PC_EMP,A,2014,11.15286069,
GRC,PARTEMP,TOT,PC_EMP,A,2015,11.11607102,
GRC,PARTEMP,TOT,PC_EMP,A,2016,10.96041872,
GRC,PARTEMP,TOT,PC_EMP,A,2017,10.97599583,
HUN,PARTEMP,TOT,PC_EMP,A,1995,3.193637225,
HUN,PARTEMP,TOT,PC_EMP,A,1996,3.113198199,
HUN,PARTEMP,TOT,PC_EMP,A,1997,3.292985796,
HUN,PARTEMP,TOT,PC_EMP,A,1998,3.522150101,
HUN,PARTEMP,TOT,PC_EMP,A,1999,3.53301347,
HUN,PARTEMP,TOT,PC_EMP,A,2000,3.17293295,
HUN,PARTEMP,TOT,PC_EMP,A,2001,2.786765406,
HUN,PARTEMP,TOT,PC_EMP,A,2002,2.891814059,
HUN,PARTEMP,TOT,PC_EMP,A,2003,3.523595,
HUN,PARTEMP,TOT,PC_EMP,A,2004,3.584242967,
HUN,PARTEMP,TOT,PC_EMP,A,2005,3.572470159,
HUN,PARTEMP,TOT,PC_EMP,A,2006,2.947432098,
HUN,PARTEMP,TOT,PC_EMP,A,2007,3.067600066,
HUN,PARTEMP,TOT,PC_EMP,A,2008,3.371424039,
HUN,PARTEMP,TOT,PC_EMP,A,2009,3.836898289,
HUN,PARTEMP,TOT,PC_EMP,A,2010,3.990655671,
HUN,PARTEMP,TOT,PC_EMP,A,2011,5.207712384,
HUN,PARTEMP,TOT,PC_EMP,A,2012,5.152392095,
HUN,PARTEMP,TOT,PC_EMP,A,2013,4.904974941,
HUN,PARTEMP,TOT,PC_EMP,A,2014,4.500933223,
HUN,PARTEMP,TOT,PC_EMP,A,2015,4.381804208,
HUN,PARTEMP,TOT,PC_EMP,A,2016,3.957977034,
HUN,PARTEMP,TOT,PC_EMP,A,2017,3.631585881,
ISL,PARTEMP,TOT,PC_EMP,A,1991,22.17240171,
ISL,PARTEMP,TOT,PC_EMP,A,1992,22.1261177,
ISL,PARTEMP,TOT,PC_EMP,A,1993,22.42229933,
ISL,PARTEMP,TOT,PC_EMP,A,1994,22.57492901,
ISL,PARTEMP,TOT,PC_EMP,A,1995,23.15781127,
ISL,PARTEMP,TOT,PC_EMP,A,1996,21.11483991,
ISL,PARTEMP,TOT,PC_EMP,A,1997,22.57972683,
ISL,PARTEMP,TOT,PC_EMP,A,1998,23.27194298,
ISL,PARTEMP,TOT,PC_EMP,A,1999,21.53528927,
ISL,PARTEMP,TOT,PC_EMP,A,2000,20.15586713,
ISL,PARTEMP,TOT,PC_EMP,A,2001,19.94743564,
ISL,PARTEMP,TOT,PC_EMP,A,2002,20.32488714,
ISL,PARTEMP,TOT,PC_EMP,A,2003,15.86376195,
ISL,PARTEMP,TOT,PC_EMP,A,2004,16.38868697,
ISL,PARTEMP,TOT,PC_EMP,A,2005,16.19749457,
ISL,PARTEMP,TOT,PC_EMP,A,2006,15.82784579,
ISL,PARTEMP,TOT,PC_EMP,A,2007,15.77701937,
ISL,PARTEMP,TOT,PC_EMP,A,2008,15.04245766,
ISL,PARTEMP,TOT,PC_EMP,A,2009,17.42978798,
ISL,PARTEMP,TOT,PC_EMP,A,2010,18.30366133,
ISL,PARTEMP,TOT,PC_EMP,A,2011,16.84242183,
ISL,PARTEMP,TOT,PC_EMP,A,2012,17.21378851,
ISL,PARTEMP,TOT,PC_EMP,A,2013,17.38350375,
ISL,PARTEMP,TOT,PC_EMP,A,2014,16.72088051,
ISL,PARTEMP,TOT,PC_EMP,A,2015,17.22295744,
ISL,PARTEMP,TOT,PC_EMP,A,2016,17.05400657,
ISL,PARTEMP,TOT,PC_EMP,A,2017,17.11530864,
IRL,PARTEMP,TOT,PC_EMP,A,1983,8.024725486,
IRL,PARTEMP,TOT,PC_EMP,A,1984,7.931265955,
IRL,PARTEMP,TOT,PC_EMP,A,1985,8.063714365,
IRL,PARTEMP,TOT,PC_EMP,A,1986,8.331318661,
IRL,PARTEMP,TOT,PC_EMP,A,1987,9.000060403,
IRL,PARTEMP,TOT,PC_EMP,A,1988,9.629750161,
IRL,PARTEMP,TOT,PC_EMP,A,1989,9.386271523,
IRL,PARTEMP,TOT,PC_EMP,A,1990,9.994588173,
IRL,PARTEMP,TOT,PC_EMP,A,1991,10.42278001,
IRL,PARTEMP,TOT,PC_EMP,A,1992,11.25697226,
IRL,PARTEMP,TOT,PC_EMP,A,1993,13.08647639,
IRL,PARTEMP,TOT,PC_EMP,A,1994,13.47459746,
IRL,PARTEMP,TOT,PC_EMP,A,1995,14.34190711,
IRL,PARTEMP,TOT,PC_EMP,A,1996,14.24422949,
IRL,PARTEMP,TOT,PC_EMP,A,1997,14.99158155,
IRL,PARTEMP,TOT,PC_EMP,A,1998,17.63516516,
IRL,PARTEMP,TOT,PC_EMP,A,1999,17.88253043,
IRL,PARTEMP,TOT,PC_EMP,A,2000,18.07603703,
IRL,PARTEMP,TOT,PC_EMP,A,2001,18.16840464,
IRL,PARTEMP,TOT,PC_EMP,A,2002,18.44444284,
IRL,PARTEMP,TOT,PC_EMP,A,2003,18.87125589,
IRL,PARTEMP,TOT,PC_EMP,A,2004,18.87269764,
IRL,PARTEMP,TOT,PC_EMP,A,2005,19.32993092,
IRL,PARTEMP,TOT,PC_EMP,A,2006,19.3161602,
IRL,PARTEMP,TOT,PC_EMP,A,2007,19.89643099,
IRL,PARTEMP,TOT,PC_EMP,A,2008,20.90058382,
IRL,PARTEMP,TOT,PC_EMP,A,2009,23.81311423,
IRL,PARTEMP,TOT,PC_EMP,A,2010,24.864578,
IRL,PARTEMP,TOT,PC_EMP,A,2011,25.67529967,
IRL,PARTEMP,TOT,PC_EMP,A,2012,25.02279768,
IRL,PARTEMP,TOT,PC_EMP,A,2013,24.22804439,
IRL,PARTEMP,TOT,PC_EMP,A,2014,23.40705017,
IRL,PARTEMP,TOT,PC_EMP,A,2015,23.2727603,
IRL,PARTEMP,TOT,PC_EMP,A,2016,22.75178614,
IRL,PARTEMP,TOT,PC_EMP,A,2017,21.96408395,
ITA,PARTEMP,TOT,PC_EMP,A,1983,8.039429257,
ITA,PARTEMP,TOT,PC_EMP,A,1984,7.813442723,
ITA,PARTEMP,TOT,PC_EMP,A,1985,7.900797024,
ITA,PARTEMP,TOT,PC_EMP,A,1986,8.066987638,
ITA,PARTEMP,TOT,PC_EMP,A,1987,8.470808084,
ITA,PARTEMP,TOT,PC_EMP,A,1988,8.588968813,
ITA,PARTEMP,TOT,PC_EMP,A,1989,9.047733332,
ITA,PARTEMP,TOT,PC_EMP,A,1990,8.880392704,
ITA,PARTEMP,TOT,PC_EMP,A,1991,9.011549066,
ITA,PARTEMP,TOT,PC_EMP,A,1992,9.976944003,
ITA,PARTEMP,TOT,PC_EMP,A,1993,10.03342993,
ITA,PARTEMP,TOT,PC_EMP,A,1994,10.02692713,
ITA,PARTEMP,TOT,PC_EMP,A,1995,10.54297887,
